Tipo_do_Produto,Descricao,Preco,Categoria,Condicao,Preco_Condominio,IPTU,Area,Quantidade_Quartos,Quantidade_Banheiros
Imóveis,125* VILLAGE DEL MAR! TURU,R$ 0,Apartamentos,Venda - apartamento padrão,nan,nan,nan,3,2
Imóveis,PASSO CASA NO ARAÇAGY PRÓXIMO AO BACURI CENTER ,R$ 180.000,Casas,Venda - casa em rua pública,nan,nan,nan,4,4
Imóveis,Apartamento Brisamar 110m2,R$ 310.000,Apartamentos,Venda - apartamento padrão,R$ 500,R$ 580,110m²,3,2
Imóveis,CHÁCARAS da FAZENDA COM PISCINA NATURAL/ARTIFICIAL/ LAGO DENTRO DO CONDOMÍNIO/___,R$ 45.522,"Terrenos, sítios e fazendas",,nan,nan,600m²,nan,nan
Imóveis,Jazigo gaveta Sao vicente,R$ 9.000,Casas,Venda - casa em rua pública,nan,nan,nan,,nan
Imóveis,"Apartamento com cobertura, suíte e lazer super completo no Centro do Rio! Rio /Wonder/",R$ 208.328,Apartamentos,Venda - apartamento padrão,R$ 355,R$ 75,65m²,2,2
Imóveis,RM - Vende Apt 2 qts no Espinheiro,R$ 477.468,Apartamentos,Venda - apartamento padrão,nan,nan,56m²,2,2
Imóveis,Chácara ,R$ 397,Casas,Venda - casa em rua pública,nan,nan,200m²,,2
Imóveis,"TH Lotes lindos,ruas abertas e luz no local!",R$ 15.000,"Terrenos, sítios e fazendas",,nan,nan,650m²,nan,nan
Imóveis,SAIA DO ALUGUEL ADQUIRA NO BOLETO,R$ 350.000,Casas,Venda - casa em rua pública,nan,nan,nan,3,nan
Imóveis,SN-EDIFICIO TULLON NA PONTA DO FAROL ,R$ 970.023,Apartamentos,Venda - apartamento padrão,nan,nan,121m²,3,nan
Imóveis,A.cleo..morar no que é seu Só depende de VOCÊ ,R$ 135.000,Apartamentos,Venda - apartamento padrão,nan,nan,nan,2,1
Imóveis,Vendo Apartamento de 3 quartos 100% Mobiliado - Cond. River Park,R$ 285.000,Apartamentos,Venda - apartamento padrão,R$ 430,nan,72m²,3,2
Imóveis,Apto Flamengo ,R$ 490.000,Apartamentos,Venda - apartamento padrão,R$ 565,R$ 860,49m²,2,2
Imóveis,Cpt-Compre em 30X sem financiamento,R$ 165.000,Apartamentos,Venda - apartamento padrão,nan,nan,nan,1,1
Imóveis,"Casa para Venda em Araruama, Viaduto, 1 dormitório, 1 banheiro, 3 vagas",R$ 230.000,Casas,Venda - casa em rua pública,nan,nan,nan,1,1
Imóveis,Aluga-se apartamento em Guaianases ,R$ 600,Apartamentos,Aluguel - apartamento padrão,R$ 200,nan,nan,2,1
Imóveis,Alugo Casa Uvarana,R$ 550,Casas,Aluguel - casa em condominio fechado,nan,R$ 19,0m²,,0
Imóveis,Linda casa!!!,R$ 600.000,Casas,Venda - casa em condominio fechado,R$ 500,R$ 400,145m²,3,3
Imóveis,Lindo Apto semi mobiliado com vista para o mar // Biguaçu // Financio e estudo trocas,R$ 149.000,Apartamentos,Venda - apartamento padrão,R$ 350,nan,45m²,2,1
Imóveis,"Apartamento à venda com 3 dormitórios em Barroca, Belo horizonte cod:260439",R$ 560.000,Apartamentos,Venda - apartamento padrão,nan,nan,80m²,3,2
Imóveis,JUNDIAÍ - Residencial - JARDIM TORRES SÃO JOSÉ,R$ 570.000,Apartamentos,Venda - apartamento padrão,R$ 490,R$ 77,72m²,3,3
Imóveis,"Casa à venda com 3 dormitórios em Caiçaras, Belo horizonte cod:268268",R$ 490.000,Casas,Venda - casa em rua pública,nan,nan,179m²,3,2
Imóveis,Residencial Terrazza - Eng. Luciano Cavalcante,R$ 259.990,Apartamentos,Venda - apartamento padrão,nan,nan,55m²,2,2
